1|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 1|Comportamientos contrarios a la preservación del agua.  Utilizarla en actividades diferentes a la respectiva autorización ambiental.
2|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 2|Arrojar sustancias contaminantes, residuos o desechos a los cuerpos de agua.
3|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 3|Deteriorar, dañar o alterar los cuerpos de agua, zonas de ronda hídrica y zonas de manejo y preservación ambiental en cualquier forma.
4|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 4|Captar agua de las fuentes hídricas sin la autorización de la autoridad ambiental.
5|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 5|Lavar bienes muebles en el espacio público, vía pública, ríos, canales y quebradas.
6|1|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 100, numeral 6|Realizar cualquier actividad en contra de la normatividad sobre conservación y preservación de humedales, y sobre cananguchales y morichales.
7|2|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 116, numeral 1|Promover, participar y patrocinar actividades de apuestas en cualquier recinto, en donde, de manera presencial, se involucren animales, con excepción a lo previsto en la Ley 84 de 1989.
8|2|Código Civil Artículo 655 modificado por la Ley 1774 de 2016, Artículo  3b|Bienestar animal. En el cuidado de los animales, el responsable o tenedor de ellos asegurará como mínimo: 1. Que no sufran hambre ni sed; 2. Que no sufran injustificadamente malestar físico ni dolor; 3. Que no les sean provocadas enfermedades por negligencia o descuido; 4. Que no sean sometidos a condiciones de miedo ni estrés; 5. Que puedan manifestar su comportamiento natural.
9|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 1|Ocupar ilícitamente áreas protegidas, de manera temporal o permanente.
10|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 2|Suministrar alimentos a la fauna silvestre.
11|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 3|Alterar elementos naturales como piedras, rocas, peñascos, árboles, con pintura o cualquier otro medio, que genere marcas.
12|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 4|Transitar con naves o vehículos automotores no autorizados, fuera del horario y ruta establecidos y/o estacionarlos en sitios no señalados para tales fines.
13|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 10|No usar los recipientes o demás elementos dispuestos para depositar los residuos y desechos sólidos.
14|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 11|Hacer cualquier clase de fuegos fuera de los sitios o instalaciones en las cuales se autoriza el uso de hornillas o de barbacoas.
15|3|Código de Policía (Ley 1801 de 29 julio 2016) Artículo 103, numeral 12|Alterar, modificar o remover señales, avisos o vallas destinados para la administración y funcionamiento de las áreas del Sistema de Parques Nacionales Naturales.
